[2025-10-26 17:25:24] Daemon started (interval: 5m0s, auto-commit: false, auto-push: false)
[2025-10-26 17:25:24] Using database: /Users/cstar/Développements/mcp/hue-mcp/.beads/hue-mcp.db
[2025-10-26 17:25:24] Database opened: /Users/cstar/Développements/mcp/hue-mcp/.beads/hue-mcp.db
[2025-10-26 17:25:24] Starting RPC server: /Users/cstar/Développements/mcp/hue-mcp/.beads/bd.sock
[2025-10-26 17:25:24] RPC server ready (socket listening)
[2025-10-26 17:25:24] Starting sync cycle...
[2025-10-26 17:25:24] Exported to JSONL
[2025-10-26 17:25:25] Pulled from remote
[2025-10-26 17:25:25] Imported from JSONL
[2025-10-26 17:25:25] Sync cycle complete
[2025-10-26 17:30:24] Starting sync cycle...
[2025-10-26 17:30:24] Exported to JSONL
[2025-10-26 17:30:25] Pulled from remote
[2025-10-26 17:30:25] Imported from JSONL
[2025-10-26 17:30:25] Sync cycle complete
[2025-10-26 17:35:24] Starting sync cycle...
[2025-10-26 17:35:24] Exported to JSONL
[2025-10-26 17:35:25] Pulled from remote
[2025-10-26 17:35:25] Imported from JSONL
[2025-10-26 17:35:25] Sync cycle complete
[2025-10-26 17:40:24] Starting sync cycle...
[2025-10-26 17:40:24] Exported to JSONL
[2025-10-26 17:40:25] Pulled from remote
[2025-10-26 17:40:25] Imported from JSONL
[2025-10-26 17:40:25] Sync cycle complete
[2025-10-26 17:45:24] Starting sync cycle...
[2025-10-26 17:45:24] Exported to JSONL
[2025-10-26 17:45:25] Pulled from remote
[2025-10-26 17:45:25] Imported from JSONL
[2025-10-26 17:45:25] Sync cycle complete
[2025-10-26 17:50:24] Starting sync cycle...
[2025-10-26 17:50:24] Exported to JSONL
[2025-10-26 17:50:25] Pulled from remote
[2025-10-26 17:50:25] Imported from JSONL
[2025-10-26 17:50:25] Sync cycle complete
[2025-10-26 17:55:24] Starting sync cycle...
[2025-10-26 17:55:24] Exported to JSONL
[2025-10-26 17:55:25] Pulled from remote
[2025-10-26 17:55:25] Imported from JSONL
[2025-10-26 17:55:25] Sync cycle complete
[2025-10-26 18:00:24] Starting sync cycle...
[2025-10-26 18:00:24] Exported to JSONL
[2025-10-26 18:00:25] Pulled from remote
[2025-10-26 18:00:25] Imported from JSONL
[2025-10-26 18:00:25] Sync cycle complete
[2025-10-26 18:05:24] Starting sync cycle...
[2025-10-26 18:05:24] Exported to JSONL
[2025-10-26 18:05:25] Pulled from remote
[2025-10-26 18:05:25] Imported from JSONL
[2025-10-26 18:05:25] Sync cycle complete
[2025-10-26 18:10:24] Starting sync cycle...
[2025-10-26 18:10:24] Exported to JSONL
[2025-10-26 18:10:25] Pulled from remote
[2025-10-26 18:10:25] Imported from JSONL
[2025-10-26 18:10:25] Sync cycle complete
[2025-10-26 18:15:24] Starting sync cycle...
[2025-10-26 18:15:24] Exported to JSONL
[2025-10-26 18:15:25] Pulled from remote
[2025-10-26 18:15:25] Imported from JSONL
[2025-10-26 18:15:25] Sync cycle complete
[2025-10-26 18:20:24] Starting sync cycle...
[2025-10-26 18:20:24] Exported to JSONL
[2025-10-26 18:20:25] Pulled from remote
[2025-10-26 18:20:25] Imported from JSONL
[2025-10-26 18:20:25] Sync cycle complete
[2025-10-26 18:25:24] Starting sync cycle...
[2025-10-26 18:25:24] Exported to JSONL
[2025-10-26 18:25:25] Pulled from remote
[2025-10-26 18:25:25] Imported from JSONL
[2025-10-26 18:25:25] Sync cycle complete
[2025-10-26 18:30:24] Starting sync cycle...
[2025-10-26 18:30:24] Exported to JSONL
[2025-10-26 18:30:25] Pulled from remote
[2025-10-26 18:30:25] Imported from JSONL
[2025-10-26 18:30:25] Sync cycle complete
[2025-10-26 18:35:24] Starting sync cycle...
[2025-10-26 18:35:24] Exported to JSONL
[2025-10-26 18:35:25] Pulled from remote
[2025-10-26 18:35:25] Imported from JSONL
[2025-10-26 18:35:25] Sync cycle complete
[2025-10-26 18:40:24] Starting sync cycle...
[2025-10-26 18:40:24] Exported to JSONL
[2025-10-26 18:40:25] Pulled from remote
[2025-10-26 18:40:25] Imported from JSONL
[2025-10-26 18:40:25] Sync cycle complete
[2025-10-26 18:45:24] Starting sync cycle...
[2025-10-26 18:45:24] Exported to JSONL
[2025-10-26 18:45:25] Pulled from remote
[2025-10-26 18:45:25] Imported from JSONL
[2025-10-26 18:45:25] Sync cycle complete
[2025-10-26 18:50:24] Starting sync cycle...
[2025-10-26 18:50:24] Exported to JSONL
[2025-10-26 18:50:25] Pulled from remote
[2025-10-26 18:50:25] Imported from JSONL
[2025-10-26 18:50:25] Sync cycle complete
[2025-10-26 18:55:24] Starting sync cycle...
[2025-10-26 18:55:24] Exported to JSONL
[2025-10-26 18:55:25] Pulled from remote
[2025-10-26 18:55:25] Imported from JSONL
[2025-10-26 18:55:25] Sync cycle complete
